H all,S all,V all,H top,S top,V top,H mid,S mid ,V mid,H bot,S bot,V bot,Ripeness
53,64,108,34,50,83,45,83,134,80,59,108,0
49,71,113,26,62,94,46,86,135,76,66,109,0
48,67,107,25,55,89,44,86,132,76,60,100,0
34,86,81,18,81,84,27,103,95,46,73,64,0
34,67,112,15,54,83,20,84,138,67,62,116,0
34,58,91,13,43,64,30,77,115,57,54,92,0
33,87,80,17,76,77,31,102,95,49,84,69,0
15,94,101,13,111,95,19,106,121,14,67,86,1
15,81,99,8,78,84,16,93,121,20,71,91,1
15,81,84,10,83,76,18,94,104,16,67,71,1
15,80,85,12,88,79,19,88,104,14,65,73,1
15,80,83,12,87,79,18,89,99,15,63,70,1
15,77,82,11,81,71,19,88,101,15,62,72,1
14,100,83,12,103,77,16,129,105,13,70,68,1
14,99,84,12,104,77,16,124,105,13,69,69,1
23,64,81,11,72,78,22,78,103,35,44,62,0
23,64,79,11,69,75,21,80,98,37,43,64,0
23,62,109,6,51,84,19,83,141,43,52,102,0
22,121,129,12,117,117,26,122,149,28,125,123,0
22,118,125,11,111,109,28,120,144,26,123,120,0
7,66,113,6,54,105,9,83,140,5,62,94,1
7,66,112,8,63,114,8,82,139,5,55,83,1
7,66,90,7,59,86,10,91,113,6,49,70,1
7,65,86,6,65,89,8,89,108,7,43,62,1
7,64,110,6,56,17,10,79,136,6,58,88,1
7,61,85,7,54,80,8,86,111,5,43,65,1
33,57,92,15,34,58,22,79,120,61,57,99,0
32,105,121,16,106,118,25,130,146,56,80,99,0
32,88,79,17,84,83,31,105,92,49,75,64,0
31,106,117,14,112,119,23,134,140,54,73,94,0
31,88,83,19,81,87,29,108,97,45,75,64,0
30,106,123,15,110,123,23,127,146,51,83,101,0
30,102,116,14,108,117,22,126,138,55,73,94,0
30,88,80,14,84,83,26,105,94,47,76,65,0
30,86,81,18,81,84,27,103,95,46,73,64,0
29,109,120,13,114,123,22,138,143,53,75,93,0
6,44,58,4,36,47,7,65,83,8,31,45,1
6,43,60,4,36,49,6,64,87,8,29,45,1
5,92,120,5,85,126,6,110,141,5,81,94,1
5,91,120,5,85,126,6,110,141,5,82,94,1
20,80,96,9,79,87,18,93,116,32,67,86,0
20,78,93,10,81,87,17,93,114,34,58,78,0
20,75,92,10,76,82,22,89,114,28,60,80,0
20,75,91,10,79,87,16,94,112,34,52,74,0
15,66,87,15,76,75,17,73,108,13,50,77,1
15,62,87,14,70,84,17,73,106,14,44,71,1
14,103,84,10,86,62,17,134,111,14,89,78,1
14,101,85,11,96,71,18,124,110,15,83,74,1
17,87,91,12,92,79,20,99,108,18,72,84,0
